180	3.67	3.46	3.26
181	3.26	3.07	2.89
182	2.89	2.72	2.54
183	2.54	2.39	2.23
184	2.23	2.09	1.95
185	1.95	1.82	1.69
186	1.69	1.57	1.46
187	1.46	1.35	1.24
188	1.24	1.14	1.05
189	1.05	0.96	0.87
190	0.87	0.79	0.71
191	0.71	0.63	0.56
192	0.56	0.49	0.43
193	0.43	0.37	0.3
194	0.3	0.25	0.19
195	0.19	0.14	0.09
196	0.09	0.05	0
