serialnumber,CruiseNumber,day,month,year,time,fecha3,Site,STATION,latitude,longitude,CTD,Depth,Fucoxanthin,Peridinin,Alloxanthin,19'-Butanoyloxyfucoxanthin,19'-Hexanoyloxyfucoxanthin,Zeaxanthin,TChlb,Divinyl_Chlorophyll_a,Chla,Tchla,DP_Uitz2006,[%Micro_Uitz],[%Nano_Uitz],[%Pico_Uitz],[MicroChl_Uitz],[NanoChl_Uitz],[PicoChl_Uitz],DP_CNR2017,[%Micro_CNR2017],[%Nano_CNR2017],[%Pico_CNR2017],Diatoms_Chl,Dinofl_Chl,Crypto_Chl,Prymnesio_Chl,Cocco_Chl,Cyanobac_Chl,Picoeukar_Chl
1,1,24,7,2001,NA,2001-07-24,boussole,B2407QU01,43.367,7.9,NA,1,0.007,0.013,0,0.01,0.03,0.013,0.011,0,0.116,0.116,0.0921,30.6222,45.1732,24.2046,0.0355,0.0524,0.0281,0.107,30.7685,38.4256,30.8059,0.01243262,0.023089152,0,0.004408731,0.047992182,0.014082745,0.013994571
2,1,24,7,2001,NA,2001-07-24,boussole,B2407QU02,43.367,7.9,NA,1,0.004,0.008,0,0.007,0.022,0.011,0,0,0.086,0.086,0.0568,29.8045,53.5318,16.6637,0.0256,0.046,0.0143,0.0694,28.4726,43.1556,28.3718,0.008543949,0.017087899,0,0.003711467,0.042325876,0.014330809,0
3,1,22,7,2001,13.6,2001-07-22,boussole,B2207001,43.365,7.905,1,5,0.005,0.011,0,0.01,0.039,0.017,0.011,0,0.118,0.118,0.1013,22.2661,52.3391,25.3948,0.0263,0.0618,0.03,0.1182,22.3096,43.7563,33.934,0.00821062,0.018063364,0,0.004076194,0.057683972,0.017026846,0.012939005
4,1,22,7,2001,15.57,2001-07-22,boussole,B2207002,43.344,7.922,2,5,0.013,0.01,0,0.009,0.037,0.015,0,0,0.117,0.117,0.0955,33.9688,52.5191,13.5121,0.0397,0.0614,0.0158,0.1131,33.1448,43.1236,23.7317,0.022463706,0.017279774,0,0.003860375,0.057586991,0.015809155,0
5,1,23,7,2001,12.2,2001-07-23,boussole,B2307003,43.393,7.937,3,5,0.005,0.02,0,0.008,0.035,0.014,0,0,0.117,0.117,0.0945,37.2858,49.9788,12.7354,0.0436,0.0585,0.0149,0.1123,36.859,40.8298,22.3113,0.008724878,0.034899513,0,0.0034652,0.055010049,0.01490036,0
6,1,23,7,2001,15.87,2001-07-23,boussole,B2307004,43.382,7.929,4,5,0.007,0.015,0,0.009,0.039,0.014,0.009,0,0.115,0.115,0.1048,29.5908,50.2528,20.1564,0.034,0.0578,0.0232,0.1204,30.113,42.4904,27.3966,0.01082753,0.023201851,0,0.003455595,0.054335114,0.013208051,0.009971859
7,1,24,7,2001,7.63,2001-07-24,boussole,B2407005,43.367,7.904,5,5,0.013,0.033,0,0.021,0.074,0.027,0.018,0,0.214,0.214,0.2076,31.2443,48.8126,19.9432,0.0669,0.1045,0.0427,0.2394,31.7124,41.4797,26.8079,0.018895997,0.047966761,0,0.007576955,0.096881931,0.023936991,0.018741365
8,1,24,7,2001,9.63,2001-07-24,boussole,B2407006,43.373,7.901,6,5,0.006,0.011,0,0.01,0.037,0.017,0,0,0.117,0.117,0.0891,26.9084,56.6794,16.4122,0.0315,0.0663,0.0192,0.1078,25.9558,45.8055,28.2387,0.011111585,0.020371239,0,0.004596991,0.061717894,0.01920229,0
9,1,24,7,2001,13.83,2001-07-24,boussole,B2407007,43.383,7.902,7,5,0.005,0,0,0.006,0.024,0.011,0,0,0.067,0.067,0.0491,14.3614,66.3679,19.2707,0.0096,0.0445,0.0129,0.0594,13.4612,53.4074,33.1314,0.009622123,0,0,0.002866164,0.041600326,0.012911387,0
10,2,2,9,2001,7.42,2001-09-02,boussole,B090101,43.368,7.898,1,10,0,0,0,0,0.005,0.008,0,0,0.023,0.023,0.0132,0,47.997,52.003,0,0.011,0.012,0.0202,0,29.179,70.821,0,0,0,0,0.011039305,0.011960695,0
11,2,2,9,2001,11.43,2001-09-02,boussole,B0901-21,43.362,7.884,2,10,0,0,0,0,0.012,0.029,0,0.009,0.067,0.076,0.0402,0,37.9293,62.0707,0,0.0288,0.0472,0.0661,0,21.4318,78.5682,0,0,0,0,0.028826282,0.047173718,0
12,2,2,9,2001,11.43,2001-09-02,boussole,B0901-22,43.362,7.884,2,5,0,0,0,0,0.011,0.029,0,0.007,0.054,0.061,0.0389,0,35.9034,64.0966,0,0.0219,0.0391,0.0649,0,20.0031,79.9969,0,0,0,0,0.021901054,0.039098946,0
13,2,2,9,2001,15.48,2001-09-02,boussole,B0901-31,43.37,7.886,3,10,0,0,0,0,0.013,0.03,0,0,0.068,0.068,0.0423,0,39.0215,60.9785,0,0.0265,0.0415,0.069,0,22.219,77.781,0,0,0,0,0.026534625,0.041465375,0
14,2,2,9,2001,15.48,2001-09-02,boussole,B0901-32,43.37,7.886,3,5,0,0,0,0,0.008,0.026,0,0,0.045,0.045,0.0325,0,31.2423,68.7577,0,0.0141,0.0309,0.056,0,16.8632,83.1368,0,0,0,0,0.014059041,0.030940959,0
20,2,3,9,2001,8.2,2001-09-03,boussole,B0901-406,43.372,7.907,4,70,0.006,0,0,0.008,0.019,0,0,0,0.037,0.037,0.0354,23.9051,76.0949,0,0.0088,0.0282,0,0.0366,26.2438,73.7562,0,0.008844871,0,0,0.002927381,0.025227748,0,0
21,2,3,9,2001,8.2,2001-09-03,boussole,B0901-407,43.372,7.907,4,50,0.011,0,0,0.01,0.038,0,0,0,0.084,0.084,0.0673,23.0563,76.9437,0,0.0194,0.0646,0,0.0681,25.8292,74.1708,0,0.019367326,0,0,0.004370447,0.060262227,0,0
22,2,3,9,2001,8.2,2001-09-03,boussole,B0901-409,43.372,7.907,4,30,0.016,0.035,0.005,0.033,0.145,0.073,0.065,0.042,0.428,0.47,0.399,18.0207,49.7945,32.1847,0.0847,0.234,0.1513,0.4753,17.6825,42.7934,39.5241,0.026571772,0.058125752,0.00353348,0.013603899,0.216896802,0.073943966,0.077324328
23,2,3,9,2001,8.2,2001-09-03,boussole,B0901-410,43.372,7.907,4,20,0.007,0.014,0,0.014,0.065,0.04,0.027,0.011,0.2,0.211,0.1787,16.5669,48.9286,34.5046,0.035,0.1032,0.0728,0.2146,16.1122,39.4558,44.432,0.011652045,0.02330409,0,0.005784703,0.09745454,0.040610977,0.032193644
24,2,3,9,2001,8.2,2001-09-03,boussole,B0901-411,43.372,7.907,4,10,0,0,0,0,0.021,0.036,0,0.014,0.093,0.107,0.0576,0,46.278,53.722,0,0.0495,0.0575,0.0892,0,27.774,72.226,0,0,0,0,0.049517439,0.057482561,0
25,2,3,9,2001,8.2,2001-09-03,boussole,B0901-412,43.372,7.907,4,5,0,0,0,0,0.008,0.03,0,0.011,0.051,0.062,0.036,0,28.2536,71.7464,0,0.0175,0.0445,0.0631,0,14.9509,85.0491,0,0,0,0,0.017517241,0.044482759,0
26,2,3,9,2001,11.33,2001-09-03,boussole,B0901-51,43.371,7.891,5,10,0,0.009,0,0.007,0.04,0.036,0.026,0.015,0.153,0.169,0.1232,10.3037,43.2364,46.4599,0.0174,0.0731,0.0785,0.1535,9.789,33.3398,56.8712,0,0.017413202,0,0.003361887,0.069707697,0.042483274,0.03603394
27,2,3,9,2001,11.33,2001-09-03,boussole,B0901-52,43.371,7.891,5,5,0,0,0,0,0.01,0.024,0,0,0.058,0.058,0.0333,0,38.0924,61.9076,0,0.0221,0.0359,0.0548,0,21.5486,78.4514,0,0,0,0,0.022093581,0.035906419,0
28,2,3,9,2001,13.78,2001-09-03,boussole,B0901-611,43.365,7.878,6,10,0,0,0,0,0.014,0.025,0,0,0.077,0.077,0.0393,0,45.2648,54.7352,0,0.0349,0.0421,0.0613,0,26.9626,73.0374,0,0,0,0,0.03485387,0.04214613,0
29,2,3,9,2001,13.78,2001-09-03,boussole,B0901-612,43.365,7.878,6,5,0,0,0,0,0.008,0.028,0,0,0.053,0.053,0.0342,0,29.6729,70.3271,0,0.0157,0.0373,0.0596,0,15.8496,84.1504,0,0,0,0,0.015726636,0.037273364,0
30,3,2,10,2001,11.32,2001-10-02,boussole,B100101,43.366,7.902,1,5,0,0.007,0,0.007,0.032,0.047,0,0.015,0.127,0.142,0.0934,10.5697,46.1448,43.2855,0.015,0.0655,0.0615,0.1376,8.4975,30.3482,61.1543,0,0.015008996,0,0.003725637,0.061799957,0.06146541,0
31,3,2,10,2001,11.32,2001-10-02,boussole,B100102,43.366,7.902,1,5,0,0.007,0,0.007,0.034,0.045,0,0.017,0.122,0.139,0.0942,10.4777,48.4395,41.0828,0.0146,0.0673,0.0571,0.1364,8.5735,32.3506,59.0759,0,0.014564013,0,0.00361518,0.063715711,0.057105096,0
32,4,4,11,2001,9.45,2001-11-04,boussole,B1101-01,43.367,7.9,NA,5,0,0,0,0.004,0.021,0.037,0.012,0.026,0.099,0.125,0.072,0,38.9807,61.0193,0,0.0487,0.0763,0.1039,0,26.0568,73.9432,0,0,0,0.002430218,0.046295653,0.055235384,0.021038745
33,4,4,11,2001,9.45,2001-11-04,boussole,B1101-02,43.367,7.9,NA,5,0,0,0,0.006,0.028,0.042,0.013,0.026,0.106,0.133,0.0869,0,43.3322,56.6678,0,0.0576,0.0754,0.1231,0,29.623,70.377,0,0,0,0.003213669,0.054418134,0.055275112,0.020093085
34,4,4,11,2001,9.75,2001-11-04,boussole,B1101-03,43.367,7.9,NA,5,0,0,0,0.004,0.022,0.031,0,0.016,0.086,0.101,0.056,0,52.3929,47.6071,0,0.0529,0.0481,0.0837,0,33.7275,66.2725,0,0,0,0.002525,0.050391786,0.048083214,0
35,4,4,11,2001,9.75,2001-11-04,boussole,B1101-04,43.367,7.9,NA,5,0,0,0,0.003,0.014,0.024,0,0.013,0.062,0.075,0.0395,0,47.7071,52.2929,0,0.0358,0.0392,0.0612,0,29.7924,70.2076,0,0,0,0.001995186,0.033785153,0.039219661,0
36,4,4,11,2001,13.13,2001-11-04,boussole,B110102,43.677,7.314,1,5,0.013,0,0,0.011,0.059,0.031,0.011,0.006,0.18,0.186,0.1349,13.5899,58.4075,28.0027,0.0253,0.1086,0.0521,0.1619,12.8506,46.8862,40.2632,0.025277135,0,0,0.005309164,0.103328737,0.036764235,0.01532073
37,4,4,11,2001,10.07,2001-11-04,boussole,B1101-25,43.371,7.909,2,5,0.004,0,0,0.007,0.031,0.045,0.012,0.026,0.108,0.134,0.0983,5.7387,42.5519,51.7094,0.0077,0.057,0.0693,0.1381,4.635,29.3815,65.9835,0.007689866,0,0,0.003340456,0.05367908,0.052765568,0.016525031
38,4,4,11,2001,10.07,2001-11-04,boussole,B1101-26,43.371,7.909,2,5,0,0,0,0.005,0.026,0.041,0,0.026,0.099,0.125,0.07,0,49.6501,50.3499,0,0.0621,0.0629,0.1069,0,31.3599,68.6401,0,0,0,0.003123661,0.058939026,0.062937313,0
39,4,4,11,2001,13.23,2001-11-04,boussole,B1101-37,43.363,7.91,3,5,0.002,0,0,0.006,0.023,0.044,0,0.025,0.089,0.114,0.072,3.9183,43.5042,52.5775,0.0045,0.0496,0.0599,0.1125,2.8439,27.1596,69.9964,0.004466861,0,0,0.003326386,0.046268445,0.059938308,0
40,4,4,11,2001,13.23,2001-11-04,boussole,B1101-38,43.363,7.91,3,5,0.002,0,0,0.005,0.023,0.043,0,0.025,0.088,0.113,0.0708,3.9853,43.7535,52.2612,0.0045,0.0494,0.0591,0.1102,2.9049,27.224,69.8711,0.004503392,0,0,0.002794658,0.046646834,0.059055116,0
41,5,2,12,2001,13.63,2001-12-02,boussole,B1201Q01,43.367,7.9,NA,5,0.007,0,0.006,0.022,0.071,0.054,0.029,0.041,0.211,0.252,0.1871,5.2761,54.2417,40.4822,0.0133,0.1367,0.102,0.2459,4.5547,45.7584,49.6869,0.013295772,0,0.004849522,0.010372588,0.121467044,0.062558828,0.039456246
42,5,2,12,2001,13.63,2001-12-02,boussole,B1201Q02,43.367,7.9,NA,5,0.005,0,0.005,0.017,0.062,0.053,0.03,0.041,0.204,0.245,0.1706,4.132,51.3949,44.4731,0.0101,0.1259,0.109,0.2256,3.5458,42.7045,53.7497,0.010123374,0,0.004307819,0.00854384,0.113065877,0.065450123,0.043508967
43,5,2,12,2001,13.92,2001-12-02,boussole,B1201Q03,43.367,7.9,NA,5,0.003,0,0.004,0.01,0.041,0.042,0.023,0.037,0.175,0.213,0.1216,3.48,47.6923,48.8276,0.0074,0.1016,0.104,0.1651,2.9073,39.2974,57.7953,0.007412505,0,0.004205677,0.006133278,0.09124566,0.063295434,0.040707445
44,5,2,12,2001,13.92,2001-12-02,boussole,B1201Q04,43.367,7.9,NA,5,0.006,0,0.006,0.018,0.066,0.055,0.028,0.041,0.206,0.246,0.1778,4.7592,52.7228,42.518,0.0117,0.1297,0.1046,0.237,4.0501,44.0197,51.9301,0.011707696,0,0.004981998,0.008718497,0.115997525,0.065457921,0.039136364
45,5,2,12,2001,14.22,2001-12-02,boussole,B1201Q05,43.367,7.9,NA,5,0.006,0,0.007,0.021,0.074,0.055,0.031,0.047,0.241,0.288,0.1926,4.3925,54.7923,40.8152,0.0127,0.1578,0.1175,0.2535,3.7867,46.6196,49.5937,0.012650467,0,0.006280374,0.010990654,0.140530841,0.070728972,0.046818692
46,5,2,12,2001,14.22,2001-12-02,boussole,B1201Q06,43.367,7.9,NA,5,0.005,0,0.005,0.016,0.057,0.048,0.027,0.039,0.192,0.23,0.1566,4.5022,51.7211,43.7767,0.0104,0.119,0.1007,0.2076,3.8543,43.3031,52.8426,0.010355067,0,0.004406412,0.008225302,0.106326713,0.060632224,0.040054282
47,5,2,12,2001,11.28,2001-12-02,boussole,B120101,43.364,7.896,1,5,0.005,0,0.006,0.018,0.063,0.052,0.026,0.038,0.204,0.243,0.1679,4.1979,53.537,42.2651,0.0102,0.1301,0.1027,0.2248,3.5594,44.8478,51.5928,0.010200965,0,0.005209003,0.009115756,0.115770096,0.064707395,0.037996785
48,5,2,12,2001,11.28,2001-12-02,boussole,B120102,43.364,7.896,1,5,0.008,0,0.008,0.023,0.081,0.057,0.026,0.04,0.23,0.27,0.2023,5.5764,57.2078,37.2157,0.0151,0.1545,0.1005,0.268,4.7761,48.6157,46.6082,0.015056358,0,0.006406961,0.010745007,0.137309175,0.065431086,0.035051414
49,5,2,12,2001,13.05,2001-12-02,boussole,B1201-21,43.367,7.851,2,5,0.006,0,0.007,0.019,0.068,0.052,0.024,0.035,0.208,0.243,0.1746,4.8445,55.6663,39.4892,0.0118,0.1353,0.096,0.2338,4.1066,47.042,48.8514,0.011772204,0,0.005844357,0.009253565,0.120171105,0.062228483,0.033730287
50,5,2,12,2001,13.05,2001-12-02,boussole,B1201-22,43.367,7.851,2,5,0.007,0,0.009,0.023,0.08,0.057,0.025,0.039,0.233,0.272,0.1992,4.9551,57.7589,37.286,0.0135,0.1571,0.1014,0.267,4.1941,49.3596,46.4462,0.013477785,0,0.007373864,0.01099252,0.138737888,0.0669383,0.034479643
51,5,3,12,2001,10.72,2001-12-03,boussole,B1201-31,43.365,7.903,3,5,0.007,0,0.008,0.022,0.081,0.056,0.033,0.047,0.238,0.285,0.2067,4.7743,55.8071,39.4186,0.0136,0.1591,0.1123,0.2702,4.1451,48.0089,47.846,0.013606879,0,0.006617327,0.010615295,0.141817588,0.066393847,0.045949064
52,5,3,12,2001,10.72,2001-12-03,boussole,B1201-32,43.365,7.903,3,5,0.009,0,0.009,0.025,0.088,0.061,0.035,0.049,0.256,0.304,0.2264,5.6049,55.6115,38.7836,0.017,0.1691,0.1179,0.2968,4.8521,47.9783,47.1696,0.017038823,0,0.007250563,0.011748598,0.150059803,0.070437878,0.047464335
53,5,3,12,2001,12.53,2001-12-03,boussole,B1201-42,43.383,7.855,4,5,0.008,0,0.007,0.024,0.085,0.054,0.029,0.038,0.233,0.271,0.2076,5.4346,58.0796,36.4858,0.0147,0.1574,0.0989,0.2679,4.7786,49.608,45.6134,0.014727693,0,0.005483716,0.010967431,0.140944546,0.060634226,0.038242388
54,7,21,1,2002,10.87,2002-01-21,boussole,B0102Q01,43.367,7.9,NA,5,0.084,0.016,0.042,0.043,0.149,0.027,0.092,0.022,0.637,0.659,0.4866,28.9754,47.1579,23.8667,0.1909,0.3108,0.1573,0.6041,26.6693,51.93,21.4007,0.16039612,0.030551642,0.034126834,0.020381304,0.256262731,0.03144544,0.125835929
55,7,21,1,2002,10.87,2002-01-21,boussole,B0102Q02,43.367,7.9,NA,5,0.078,0.011,0.036,0.038,0.135,0.031,0.089,0.021,0.595,0.617,0.4484,27.9868,46.0202,25.993,0.1727,0.2839,0.1604,0.5551,25.7899,50.1063,24.1038,0.151336247,0.021342291,0.02972234,0.018301256,0.235921073,0.036685073,0.123691719
56,7,21,1,2002,11.2,2002-01-21,boussole,B0102Q03,43.367,7.9,NA,5,0.068,0.017,0.07,0.046,0.183,0.035,0.111,0.028,0.796,0.824,0.5526,21.6896,52.5743,25.7361,0.1787,0.4332,0.2121,0.7287,18.8272,59.17,22.0028,0.142977578,0.035744394,0.062630979,0.024008542,0.346572995,0.044885535,0.167179977
57,7,21,1,2002,11.58,2002-01-21,boussole,B0102Q05,43.367,7.9,NA,5,0.058,0.008,0.038,0.03,0.118,0.028,0.084,0.021,0.548,0.569,0.3851,24.1626,47.5567,28.2806,0.1375,0.2706,0.1609,0.4891,21.7034,52.9378,25.3588,0.120820533,0.016664901,0.033684375,0.015512541,0.221400893,0.035575427,0.12534133
58,7,21,1,2002,11.58,2002-01-21,boussole,B0102Q06,43.367,7.9,NA,5,0.063,0.015,0.045,0.037,0.144,0.031,0.099,0.026,0.626,0.651,0.4595,23.9368,48.4982,27.565,0.1558,0.3157,0.1794,0.581,21.662,53.7911,24.5469,0.125861511,0.029967027,0.038255779,0.018348605,0.25911914,0.037774039,0.1416739
59,7,21,1,2002,10.58,2002-01-21,boussole,B010201,43.368,7.901,1,5,0.081,0.014,0.04,0.041,0.14,0.032,0.096,0.022,0.64,0.662,0.4746,28.225,45.5455,26.2295,0.1868,0.3015,0.1736,0.5913,25.8714,50.1547,23.9739,0.15931354,0.027535674,0.033478023,0.020017068,0.248016351,0.038388133,0.135251212
60,7,21,1,2002,10.58,2002-01-21,boussole,B010202,43.368,7.901,1,5,0.08,0.013,0.037,0.04,0.136,0.03,0.091,0.02,0.605,0.625,0.4578,28.646,45.6396,25.7143,0.179,0.2852,0.1607,0.5667,26.4193,49.9726,23.6081,0.154010835,0.025026761,0.030310643,0.01911482,0.235822265,0.035225883,0.125488793
61,7,22,1,2002,10.77,2002-01-22,boussole,B0102-31,43.371,7.9,3,5,0.047,0,0.01,0.035,0.083,0.013,0.055,0.01,0.328,0.338,0.2567,25.8202,48.1805,25.9994,0.0873,0.1628,0.0879,0.2918,25.7746,49.6607,24.5647,0.087272111,0,0.007901504,0.016132237,0.138816255,0.014723136,0.073154757
62,7,22,1,2002,10.77,2002-01-22,boussole,B0102-32,43.371,7.9,3,5,0.051,0,0.009,0.034,0.082,0.013,0.049,0.007,0.294,0.301,0.254,28.3088,47.8073,23.8839,0.0852,0.1439,0.0719,0.2884,28.2911,48.6912,23.0177,0.085209472,0,0.006398709,0.014100858,0.123400283,0.013247697,0.058642981
63,7,23,1,2002,10.28,2002-01-23,boussole,B0102-41,43.369,7.899,4,5,0.067,0.013,0.023,0.036,0.118,0.022,0.081,0.018,0.497,0.516,0.3898,28.9387,45.2192,25.8421,0.1493,0.2333,0.1333,0.4614,27.9371,48.081,23.982,0.125058416,0.024265066,0.018268298,0.016679751,0.198383129,0.025046102,0.108299238
64,7,23,1,2002,10.28,2002-01-23,boussole,B0102-42,43.369,7.899,4,5,0.062,0.011,0.026,0.039,0.126,0.024,0.088,0.021,0.518,0.539,0.4017,25.6223,47.1149,27.2628,0.1381,0.2539,0.1469,0.4791,24.5408,50.3277,25.1315,0.117294085,0.020810241,0.020930997,0.018314622,0.214703724,0.027693319,0.119253012
65,7,23,1,2002,12.58,2002-01-23,boussole,B0102-51,43.37,7.906,5,5,0.099,0.017,0.037,0.047,0.18,0.032,0.112,0.023,0.686,0.709,0.5715,28.6219,46.767,24.6111,0.2029,0.3316,0.1745,0.6817,27.3998,49.7404,22.8598,0.173189798,0.029739662,0.027543617,0.020409572,0.283624814,0.03414416,0.140348377
66,7,23,1,2002,12.58,2002-01-23,boussole,B0102-52,43.37,7.906,5,5,0.095,0.015,0.034,0.047,0.176,0.031,0.113,0.026,0.684,0.71,0.5563,27.8826,46.8072,25.3101,0.198,0.3323,0.1797,0.6583,26.8971,49.5663,23.5367,0.170971308,0.02699547,0.026038184,0.020996476,0.285296804,0.034028332,0.145673426
67,8,25,2,2002,10.02,2002-02-25,boussole,B0202-03,43.381,7.885,1,130,0.044,0.034,0.013,0.02,0.085,0.012,0.076,0,0.319,0.319,0.3198,34.3892,38.3822,27.2287,0.1097,0.1224,0.0869,0.3623,35.0996,40.5144,24.3859,0.061882868,0.04781858,0.007780245,0.006982271,0.107676589,0.010293862,0.076565586
68,8,25,2,2002,10.02,2002-02-25,boussole,B0202-04,43.381,7.885,1,110,0.099,0.066,0.042,0.056,0.277,0.027,0.256,0,0.891,0.891,0.911,25.5373,43.5325,30.9302,0.2275,0.3879,0.2756,1.0144,26.4804,46.5473,26.9723,0.136522458,0.091014972,0.024646221,0.019169283,0.344059285,0.022709732,0.252878049
69,8,25,2,2002,10.02,2002-02-25,boussole,B0202-06,43.381,7.885,1,70,0.098,0.058,0.04,0.055,0.259,0.027,0.249,0,0.853,0.853,0.8669,25.3746,42.9348,31.6906,0.2164,0.3662,0.2703,0.9661,26.2566,46.0593,27.684,0.135972244,0.080473369,0.023616543,0.018942435,0.323674557,0.022849005,0.247471846
70,8,25,2,2002,10.02,2002-02-25,boussole,B0202-07,43.381,7.885,1,50,0.102,0.063,0.044,0.059,0.276,0.027,0.264,0,0.882,0.882,0.9201,25.2858,43.2104,31.5038,0.223,0.3811,0.2779,1.0272,26.131,46.5463,27.3226,0.13786762,0.08515353,0.025307365,0.019795344,0.336012781,0.022258977,0.255604382
71,8,25,2,2002,10.02,2002-02-25,boussole,B0202-08,43.381,7.885,1,40,0.081,0.051,0.036,0.049,0.232,0.027,0.246,0,0.785,0.785,0.7912,23.5241,42.1378,34.3381,0.1847,0.3308,0.2696,0.8785,24.4482,45.4074,30.1445,0.11331646,0.071347401,0.021431009,0.017015824,0.292334837,0.023038335,0.246516134
72,8,25,2,2002,10.02,2002-02-25,boussole,B0202-09,43.381,7.885,1,30,0.07,0.058,0.037,0.048,0.248,0.027,0.254,0,0.815,0.815,0.8142,22.1665,43.4733,34.3601,0.1807,0.3543,0.28,0.9006,23.1909,46.624,30.1851,0.098796979,0.081860354,0.022221813,0.016816507,0.315269467,0.023242815,0.256792066
73,8,25,2,2002,10.02,2002-02-25,boussole,B020200,43.381,7.885,1,20,0.121,0.129,0.072,0.067,0.367,0.047,0.317,0,1.34,1.34,1.2458,28.2944,42.7619,28.9438,0.3791,0.573,0.3878,1.4378,28.4489,46.2974,25.2537,0.183506096,0.195638731,0.046465409,0.025222542,0.501320886,0.043475274,0.344371062
74,8,25,2,2002,10.02,2002-02-25,boussole,B020202,43.381,7.885,1,5,0.103,0.134,0.085,0.061,0.332,0.047,0.263,0,1.226,1.226,1.1342,29.4628,43.5537,26.9835,0.3612,0.534,0.3308,1.3602,28.5683,48.2311,23.2006,0.156983257,0.204230645,0.055127357,0.023077825,0.455762725,0.043691133,0.287127058
75,9,22,3,2002,14.3,2002-03-22,boussole,B0302-Q2,43.362,7.902,NA,5,0.047,0,0.045,0.018,0.149,0.12,0.023,0,0.699,0.699,0.4152,15.9598,53.592,30.4482,0.1116,0.3746,0.2128,0.6178,12.1718,49.7847,38.0434,0.111559208,0,0.045451918,0.010605448,0.318550611,0.173727332,0.039105484
76,9,22,3,2002,14.67,2002-03-22,boussole,B0302-Q3,43.37116667,7.9093,NA,5,0.049,0,0.06,0.017,0.15,0.112,0.022,0,0.76,0.76,0.4201,16.4469,55.3347,28.2184,0.125,0.4205,0.2145,0.6469,12.1188,53.8992,33.982,0.124996191,0,0.065130451,0.010764616,0.344648638,0.174260141,0.040199962
77,9,22,3,2002,10.17,2002-03-22,boussole,B030202,43.367,7.902,1,10,0.051,0,0.078,0.016,0.145,0.105,0.026,0,0.875,0.875,0.425,16.9192,55.6562,27.4246,0.148,0.487,0.24,0.6833,11.9429,57.2001,30.8569,0.148043033,0,0.096348407,0.011528869,0.379114512,0.185903016,0.054062162
78,9,22,3,2002,12.58,2002-03-22,boussole,B0302-21,43.365,7.902,2,10,0.076,0,0.075,0.027,0.225,0.118,0.026,0,0.898,0.898,0.5751,18.6333,59.1549,22.2118,0.1673,0.5312,0.1995,0.8391,14.4919,57.6088,27.8993,0.167326865,0,0.070266041,0.014755869,0.446189358,0.158457729,0.041004138
79,9,22,3,2002,12.58,2002-03-22,boussole,B0302-22,43.365,7.902,2,5,0.059,0,0.072,0.021,0.171,0.104,0.022,0,0.787,0.787,0.4626,17.9843,57.8766,24.139,0.1415,0.4555,0.19,0.7081,13.332,57.6426,29.0254,0.141536481,0,0.07349893,0.012505026,0.369485245,0.152170007,0.037804311
80,9,24,3,2002,13.2,2002-03-24,boussole,B0302-31,43.61328333,7.327166667,3,10,0.03,0,0.003,0.01,0.046,0.045,0,0,0.201,0.201,0.1447,29.2289,44.0299,26.7413,0.0588,0.0885,0.0538,0.1966,24.4113,34.6234,40.9653,0.05875,0,0.0025,0.004861111,0.081138889,0.05375,0
81,9,24,3,2002,13.2,2002-03-24,boussole,B0302-32,43.613,7.327,3,10,0.022,0,0.002,0.007,0.034,0.038,0,0,0.163,0.163,0.1105,28.0648,42.3686,29.5666,0.0457,0.0691,0.0482,0.1527,23.0472,32.4167,44.5361,0.045745589,0,0.001769655,0.003613046,0.063678096,0.048193613,0
82,9,24,3,2002,13.2,2002-03-24,boussole,B0302-33,43.613,7.327,3,5,0.031,0,0.003,0.01,0.049,0.046,0,0,0.207,0.207,0.1508,28.9854,44.7812,26.2334,0.06,0.0927,0.0543,0.2036,24.3663,35.1837,40.45,0.059999801,0,0.002470822,0.004804377,0.085421817,0.054303183,0
83,9,24,3,2002,13.2,2002-03-24,boussole,B0302-34,43.613,7.327,3,5,0.033,0,0.004,0.012,0.057,0.047,0,0,0.219,0.219,0.1659,28.0403,47.6015,24.3582,0.0614,0.1042,0.0533,0.2218,23.802,38.2726,37.9254,0.06140816,0,0.00316741,0.005542967,0.095537001,0.053344462,0
84,11,21,5,2002,NA,2002-05-21,boussole,B0502Q13,43.367,7.9,NA,5,0.009,0.004,0,0.008,0.035,0.009,0,0,0.108,0.108,0.0733,25,64.4435,10.5565,0.027,0.0696,0.0114,0.0831,25.3823,55.2197,19.398,0.018692308,0.008307692,0,0.004124386,0.065474632,0.011400982,0
85,11,21,5,2002,NA,2002-05-21,boussole,B0502Q21,43.367,7.9,NA,5,0.004,0,0,0.005,0.023,0.006,0,0,0.075,0.075,0.0418,13.5057,74.1379,12.3563,0.0101,0.0556,0.0093,0.0471,13.5795,63.6325,22.788,0.01012931,0,0,0.00314296,0.052460489,0.009267241,0
86,11,21,5,2002,NA,2002-05-21,boussole,B0502Q22,43.367,7.9,NA,5,0.004,0,0,0.005,0.022,0.006,0,0,0.078,0.078,0.0405,13.9294,73.3267,12.7439,0.0109,0.0572,0.0099,0.046,13.9282,62.6986,23.3732,0.010864905,0,0,0.003371203,0.05382366,0.009940232,0
87,11,21,5,2002,NA,2002-05-21,boussole,B0502Q23,43.367,7.9,NA,5,0.004,0,0,0.004,0.021,0.006,0,0,0.075,0.075,0.0389,14.5099,72.2151,13.275,0.0109,0.0542,0.01,0.0442,14.4796,61.2217,24.2986,0.010882429,0,0,0.002701312,0.051459995,0.009956264,0
