"","x","y"
"1",1.00740740740741,45.9685863874346
"2",1.00740740740741,47.8010471204188
"3",1.05925925925926,49.1099476439791
"4",1.06296296296296,50.2879581151833
"5",1.06851851851852,53.2984293193717
"6",1.08333333333333,53.9528795811518
"7",1.10925925925926,53.9528795811518
"8",1.11666666666667,51.8586387434555
"9",1.12962962962963,51.2041884816754
"10",1.2,51.2041884816754
"11",1.21851851851852,53.4293193717278
"12",1.22777777777778,55.130890052356
"13",1.2537037037037,57.0942408376963
"14",1.27037037037037,58.2722513089005
"15",1.28148148148148,60.1047120418848
"16",1.30555555555556,61.020942408377
"17",1.34074074074074,62.1989528795812
"18",1.33148148148148,63.3769633507853
"19",1.31481481481481,65.0785340314136
"20",1.30740740740741,65.6020942408377
"21",1.31111111111111,67.565445026178
"22",1.30925925925926,69.2670157068063
"23",1.36111111111111,72.1465968586387
"24",1.37962962962963,73.848167539267
"25",1.3962962962963,73.717277486911
"26",1.4,73.3246073298429
"27",1.48703703703704,72.1465968586387
"28",1.50925925925926,72.2774869109948
"29",1.63333333333333,73.1937172774869
"30",1.65740740740741,73.1937172774869
"31",1.65740740740741,71.2303664921466
"32",1.55,67.8272251308901
"33",1.52222222222222,66.6492146596859
"34",1.52962962962963,64.8167539267016
"35",1.53333333333333,63.3769633507853
"36",1.5462962962963,60.890052356021
"37",1.55555555555556,59.8429319371728
"38",1.56666666666667,58.1413612565445
"39",1.57777777777778,53.1675392670157
"40",1.52592592592593,53.2984293193717
"41",1.47037037037037,50.2879581151833
"42",1.44444444444444,50.0261780104712
"43",1.45925925925926,52.1204188481675
"44",1.43518518518519,55.261780104712
"45",1.41111111111111,55.261780104712
"46",1.40740740740741,57.0942408376963
"47",1.38148148148148,59.5811518324607
"48",1.34074074074074,59.9738219895288
"49",1.32222222222222,59.0575916230367
"50",1.32407407407407,56.3089005235602
"51",1.33148148148148,53.2984293193717
"52",1.30555555555556,53.1675392670157
"53",1.28333333333333,54.3455497382199
"54",1.26111111111111,54.0837696335079
"55",1.24259259259259,53.0366492146597
"56",1.21666666666667,49.2408376963351
"57",1.18888888888889,49.1099476439791
"58",1.13703703703704,49.1099476439791
"59",1.11296296296296,49.1099476439791
"60",1.09814814814815,50.1570680628272
"61",1.09814814814815,47.2774869109948
"62",1.05185185185185,47.0157068062827
"63",1.02962962962963,46.0994764397906
"64",1.00555555555556,46.0994764397906
